quarter,level_1,level_2,level_3,value
2004-Q2,Total Services Sector,Financial & Insurance,Security Dealing Activities,24
2004-Q2,Total Services Sector,Financial & Insurance,Fund Management,43
2004-Q2,Total Services Sector,Financial & Insurance,Insurance Companies,72
2004-Q2,Total Services Sector,Financial & Insurance,Other Financial Services,3
2004-Q3,Total Services Sector,Wholesale & Retail Trade,Wholesale Trade,17
2004-Q3,Total Services Sector,Wholesale & Retail Trade,Retail Trade,39
2004-Q3,Total Services Sector,Accommodation & Food Services,Accommodation,74
2004-Q3,Total Services Sector,Accommodation & Food Services,Food & Beverage Services,66
2004-Q3,Total Services Sector,Financial & Insurance,Banks & Finance Companies,52
2004-Q3,Total Services Sector,Financial & Insurance,Security Dealing Activities,7
2004-Q3,Total Services Sector,Financial & Insurance,Fund Management,46
2004-Q3,Total Services Sector,Financial & Insurance,Insurance Companies,78
2004-Q3,Total Services Sector,Financial & Insurance,Other Financial Services,-30
2004-Q4,Total Services Sector,Wholesale & Retail Trade,Wholesale Trade,-9
2004-Q4,Total Services Sector,Wholesale & Retail Trade,Retail Trade,-9
2004-Q4,Total Services Sector,Accommodation & Food Services,Accommodation,14
2004-Q4,Total Services Sector,Accommodation & Food Services,Food & Beverage Services,42
2004-Q4,Total Services Sector,Financial & Insurance,Banks & Finance Companies,53
2004-Q4,Total Services Sector,Financial & Insurance,Security Dealing Activities,67
2004-Q4,Total Services Sector,Financial & Insurance,Fund Management,19
2004-Q4,Total Services Sector,Financial & Insurance,Insurance Companies,8
2004-Q4,Total Services Sector,Financial & Insurance,Other Financial Services,26
2005-Q1,Total Services Sector,Wholesale & Retail Trade,Wholesale Trade,10
2005-Q1,Total Services Sector,Wholesale & Retail Trade,Retail Trade,-19
2005-Q1,Total Services Sector,Accommodation & Food Services,Accommodation,63
2005-Q1,Total Services Sector,Accommodation & Food Services,Food & Beverage Services,30
2005-Q1,Total Services Sector,Financial & Insurance,Banks & Finance Companies,46
2005-Q1,Total Services Sector,Financial & Insurance,Security Dealing Activities,40
2005-Q1,Total Services Sector,Financial & Insurance,Fund Management,58
2005-Q1,Total Services Sector,Financial & Insurance,Insurance Companies,58
2005-Q1,Total Services Sector,Financial & Insurance,Other Financial Services,-25
2005-Q2,Total Services Sector,Wholesale & Retail Trade,Wholesale Trade,22
2005-Q2,Total Services Sector,Wholesale & Retail Trade,Retail Trade,28
2005-Q2,Total Services Sector,Accommodation & Food Services,Accommodation,57
2005-Q2,Total Services Sector,Accommodation & Food Services,Food & Beverage Services,41
2005-Q2,Total Services Sector,Financial & Insurance,Banks & Finance Companies,18
2005-Q2,Total Services Sector,Financial & Insurance,Security Dealing Activities,37
2005-Q2,Total Services Sector,Financial & Insurance,Fund Management,40
2005-Q2,Total Services Sector,Financial & Insurance,Insurance Companies,69
2005-Q2,Total Services Sector,Financial & Insurance,Other Financial Services,-24
2005-Q3,Total Services Sector,Wholesale & Retail Trade,Wholesale Trade,8
2005-Q3,Total Services Sector,Wholesale & Retail Trade,Retail Trade,38
2005-Q3,Total Services Sector,Accommodation & Food Services,Accommodation,64
2005-Q3,Total Services Sector,Accommodation & Food Services,Food & Beverage Services,52
2005-Q3,Total Services Sector,Financial & Insurance,Banks & Finance Companies,16
2005-Q3,Total Services Sector,Financial & Insurance,Security Dealing Activities,10
2005-Q3,Total Services Sector,Financial & Insurance,Fund Management,48
